All,Alla
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento har ett blomstrande ekosystem av teknik att hjälpa handlare och märken leverera den bästa möjliga kundupplevelsen. De är erkända som experter inom e-handel, Sök, e-postmarknadsföring, utbetalningar, skatt, bedrägeri, optimering och analytics, uppfyllelse och mer. Besök Magento Partner Directory för att se alla våra partners."
"More Partners","Fler partner"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Tillägg och teman är en viktig komponent i Magento ekosystemet. Besök på Magento Marketplace för att se de senaste innovationerna som utvecklare har skapat för att förbättra din Magento butik."
"Visit Magento Marketplaces","Besök Magento marknadsplatser"
"Read More","Läs mer"
"Partner Page",Partnersida
"No partners were found","Inga partners hittades"
Synchronize,Synkronisera
"Synchronizing %1 to %2","Synkronisera %1 till %2"
Synchronizing...,Synkroniserar...
"The timeout limit for response from synchronize process was reached.","Tidsgränsen uppnåddes för svar från processing för att synkronisera."
"File %1 is not readable","Filen %S kan inte läsas"
"File System",Filsystem
"database ""%1""","databasen ""%1"""
"Parent directory does not exist: %1","Överordnade katalogen finns inte: %1"
"File system",Filsystem
"Unable to save file ""%1"" at ""%2""","Det går inte att spara filen ""%1"" på ""%2"""
"Wrong file info format","Fel filformat"
"Path ""%value%"" is protected and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" is not available and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Please set available and/or protected paths list(s) before validation.","Vänligen ange tillgängliga och/eller skyddade sökvägar förteckningar innan validering."
"File with an extension ""%value%"" is protected and cannot be uploaded","Fil med tillägget ""%value%"" är skyddad och kan inte laddas upp"
"Unable to create directory: %1","Det gick inte att skapa katalogen ""%s"""
"Unable to save file: %1","Det går inte att spara filen: %1"
"Storage Configuration for Media","Lagringskonfiguration för Media"
"Select Media Database","Välj Media databas"
"Environment Update Time","Tidpunkt för uppdateringen av miljö"
"Some exception","Något undantag"
"To see product price, add this item to your cart. You can always remove it later.","Lägg till varan i kundvagnen för att se produktpriser. Du kan alltid ta bort den senare."
"On Gesture","På gest"
"In Cart","I varukorgen"
"Before Order Confirmation","Före orderbekräftelse"
"Order total will be displayed before you submit the order","Totalbeloppet kommer att visas innan du väljer att din order skall genomföras"
"You will see the order total before you submit the order.","Innan du skickar ordern kommer du se ordertotalen."
"Actual Price","Faktiskt pris"
"Minimum Advertised Price","Minimum annonserade pris"
"Enable MAP","Aktivera Karta"
"Display Actual Price","Visa faktiska priset"
"Default Popup Text Message","Standard popup textmeddelande"
"Default ""What's This"" Text Message","Standard ""Vad är detta"" textmeddelande"
Wishlist,Önskelistan
"Customer's Wish List Report","Kundens Önskelista Rapport"
"My Wish Lists","Mina Önskelistor"
"1 item in wish list","%1 artikel i önskelistan"
"%1 items in wish list","%1 artiklar i önskelistan"
"Wish List Search","Önskelista Sök"
"Customer Wish List Report","Rapport för kundens önskelista"
"Wish list ""%1"" was saved.","Önskelista ""%1"" sparades."
"""%1"" was copied to %2.","""%1"" har kopierats till %2."
"""%1"" is already present in %2.","""%1"" finns redan i %2."
"We can't copy ""%1"".","Vi kan inte kopiera ""%1""."
"%1 items are already present in %2: %3.","%1 objekt finns redan i %2: %3."
"%1 items were copied to %2: %3.","%1 objekt har kopierats till %2: %3."
"%1 for ""%2""","%1 för ""%2"""
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(erna) %1 har tvingande alternativ. Varje produkt kan bara läggas till individuellt."
"%1's Wish List","%1's önskelista"
"All Wish Lists","Alla önskelistor"
"Add To Order","Lägg till i order"
"Configure and Add to Order","Konfigurera och lägg till i beställningen"
"No items","Inga artiklar"
"Create New Wish List","Skapa ny önskelista"
"Copy to Wish List","Kopiera till önskelistan"
"Edit Wish List","Redigera önskelista"
"Move Selected to Wish List","Flytta valda till önskelistan"
"Copy Selected to Wish List","Kopiera markerade till önskelistan"
"My Wish Lists Link","Min önskelistelänk"
"Ship to Multiple Addresses","Leverera till flera adresser"
"Billing Information - %1","Faktureringsinformation - %1"
"Review Order - %1","Granska beställning - %1"
"Total for this address","Totalt för denna adress"
"Shipping Methods",Fraktsätt
"Edit Billing Address","Redigera faktureringsadress"
"Edit Shipping Address","Redigera leveransadress"
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa leveransadress"
"Data saving problem","Problem med att spara data"
"We cannot open the overview page.","Vi kan inte öppna översiktssidan."
"Please agree to all Terms and Conditions before placing the order.","Vänligen godkänn köpvillkoren innan du genomför beställningen."
"Order place error","Ett fel uppstod vid hanteringen av din order"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximalt antal tillåtna för frakt till flera adresser är %1"
"Select Addresses","Välj adresser"
"Shipping Information",Leveransinformation
"Billing Information",Faktureringsinformation
"Enter a New Address","Ange en ny adress"
"Check Out with Multiple Addresses","Gå till Kassan med Flera Adresser"
"Order Review","Granska beställning"
"Sorry, no quotes are available for this order right now.","Tyvärr finns inga offerter tillgängliga för den här beställningen just nu."
"Continue to Billing Information","Fortsätt till Faktureringsinformation"
"Continue Shopping","Fortsätt Handla"
"Select Shipping Method","Välj fraktsätt"
"Ship to:","Leverera till:"
Error:,Fel:
"MySQL Message Queue Cleanup","MySQL Meddelandekö Rensa"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","All tid är i minuter. Använd ""0"" om du vill hoppa över automatisk rensning."
"Retry Messages In Progress After","Försök igen meddelanden pågår efter"
"Successful Messages Lifetime","Livstid för levererade meddelanden"
"Failed Messages Lifetime","Livstid för misslyckade meddelanden"
"New Messages Lifetime","Livslängd för nya meddelanden"
"Subtotal (Incl. Tax)","Delsumma (Inkl. Moms)"
"Subtotal (Excl. Tax)","Delsumma (Exkl. Moms)"
"Shipping & Handling","Frakt & hantering"
Qty:,Antal:
"Cannot save comment:\n%1","Kan inte spara kommentar: \n%1"
Comments,Kommentarer
"Click to change shipping method","Klicka för att ändra leveransmetod"
"Get shipping methods and rates","Hämta leveransmetoder och priser"
Created:,Skapad:
"No shipping information available","Ingen fraktinformation tillgänglig"
"Proceed to Checkout","Gå vidare till Kassan"
"Thank you,","Tack,"
"Cancel coupon","Avbryt kupong"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Detta meddelande kommer att visas i kundvagnen när delsumman (efter rabatt) är lägre än det minsta tillåtna belopp."
"No New Relic Application ID configured, cannot continue with Cron Event reporting","Ingen ny relic applikations-ID konfigurerade, kan inte fortsätta med Cron event-rapportering"
"New Relic Reporting Section","New Relic Rapportsektion"
"New Relic Reporting","New Relic rapportering"
"Enable New Relic Integration","Aktivera New Relic Integration"
"New Relic API URL","Ny relik API-nyckel"
"Use %s to replace the account ID in the URL","Använda %s för att ersätta det konto-ID i URLen"
"New Relic Account ID","Ny relik konto-ID"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Behövs ett New Relic-konto? <a href=""http://www.newrelic.com/magento"" target=""_blank""> Klicka här för att få ett"
"New Relic Application ID","Ny relik program-ID"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Detta kan ofta hittas i slutet av webbadressen när du visar Revisionsplanen efter ""/ applications /"""
"New Relic API Key","Ny relik API-nyckel"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Du hittar detta genom att navigera till inställningar från New Relic APMs hemsida"
"Insights API Key","Insights API URL"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Genereras under insikter i hantera data-> API Keys-> infoga nycklar"
"New Relic Application Name","Ny relik programnamn"
"This is located by navigating to Settings from the New Relic APM website","Du hittar detta genom att navigera till inställningar från New Relic APMs hemsida"
"Enable Cron","Aktivera cron"
"Delete Selected Problems","Ta bort markerade problem"
"Unsubscribe Selected","Avprenumeration Vald"
"Save Newsletter","Spara nyhetsbrev"
"Save and Resume","Spara och återuppta"
"View Newsletter","Visa nyhetsbrev"
"Edit Newsletter","Redigera nyhetsbrev"
"Queue Information",Köinformation
"Queue Date Start","Startdatum för kön"
"Subscribers From","Prenummeranter från"
"Newsletter Styles","Nyhetsbrev stilar"
Pause,Pausa
"Do you really want to cancel the queue?","Vill du verkligen avbryta kön?"
Resume,Återuppta
"Return HTML Version","Returnera HTML-versionen"
"Save As","Spara som"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"New Newsletter Template","Ny nyhetsbrevsmall"
"Queue Newsletter","Köa nyhetsbrev"
Cancelled,Avbruten
" Copy"," Kopiera"
"Enter your email address","Ange din e-postadress"
Subscribe,Prenumerera
"You have been successfully subscribed to our newsletter.","Du är nu prenumerant på vårt nyhetsbrev."
"You have been unsubscribed from the newsletter.","Du har avbrutit prenumerationen på nyhetsbrevet."
"Subscription Options",Prenumerationsval
"Customer First Name","Kundens Förnamn"
"Customer Last Name","Kundens efternamn"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"Make Check payable to:","Checkbetalning till:"
"Send Check to:","Skicka check till:"
"Purchase Order Number",Inköpsordernummer
"Make Check payable to: %1","Check utställd till: %1"
"Purchase Order Number: %1","Inköpsordernummer: %1"
"Make Check payable to","Ställ ut checken till"
"Send Check to","Skicka check till"
"Check / Money Order",Check/kontantorder
"Make Check Payable to","Ställ ut checken till"
"Purchase Order",Inköpsorder
"Bank Transfer Payment","Betalning via bankgiro"
Instructions,Instruktioner
"Cash On Delivery Payment","Kontant betalning vid leverans"
"Purchase order number is a required field.","Inköpsordernummer är ett obligatoriskt fält."
"Shipping Price",Fraktavgift
"Export CSV","Exportera till CSV"
"Store Pickup","Hämta i Butik"
"Weight vs. Destination","Pris kontra Destination"
"Price vs. Destination","Pris kontra Destination"
"# of Items vs. Destination","# av objekt vs. Destination"
"Weight (and above)","Vikt (och över)"
"Order Subtotal (and above)","Beställningens delsumma (och senare)"
"# of Items (and above)","# Objekt (och högre)"
"Per Order","Per beställning"
"Per Item","Frakt per vara"
"Unable to import data","Det går inte att importera data"
"Something went wrong while importing table rates.","Något gick fel medan tabellfrakterna importerades."
"Requested column ""%1"" cannot be resolved","Begärda kolumnen ""%1"" kan inte hittas"
